,Time,Speech,Communication Code,Common words,General Observation,
,,,,,,
,,,,,,
160621,,,,,,
,0:23:22,There is no need for a chest X ray. Ok.,,Before,,
,0:23:25,Do you want to do the film here?,,Before,,
,0:25:14,"So mom we will be taking the X ray in a moment so we will have you step back around the corner there and then you can come right back, ok?",,Before,,
160116,,,,,,
166,,"Alright, so we have the (inaudible) plan for him, he’s going to get a whole bunch of x-rays, he’s going to get a whole bunch of labs",,,,
173,,X-ray.,,,,
175,,We’re taking x-rays.,,,,
,,,,,,
160436,,,,,,
15,,Where's the x-ray?,,,,
24,,"Guys, the chest x-ray shows no evidence of a pneumothorax.",,,,
,,,,,,
160505,,,,,,
96,,"… If there any question on his mental status we'll just go ahead and scan his head, if that develops, but we'll watch him closely",,,,
97,,"in other we'll just get plain film of the left shoulder, to start with.",,,,
98,,Do we have a plain film at all just like [...] lower series?,,,,
99,,"So we'll get film of the spine as well, just plain film",,,,
100,,"Just the [rasick?], right",,,,
101,,"Just the [rasick?] spine, yeah definitely it just T-3 to T-4",,,,
,,,,,,
160511,,,,,,
245,,"Guys with respect, lets start getting x-rays, ok?",,,,
250,,"Ok baby girl, take a deep breath, good job.",,,,
263,,"We are going to take a quick picture ok, just a picture, just a picture ok sweetie.",,,,
264,,"Put your arms up in the air, ok?",,,,
267,,X-ray.,,,,
278,,"We got to take one more picture, ok?",,,,
279,,We got to turn your leg a little bit.,,,,
280,,Can you put your hand down?,,,,
281,,"Can somebody just hand me the, trigger?",,,,
284,,"Sweetie, you got to move you hand for me ok baby hold mommy's pinky.",,,,
285,,Alright we are going to do an x-ray.,,,,
287,,Lateral c-spine.,,,,
288,,"C-spine, alright.",,,,
289,,And the Orthopedics already knows.,,,,
293,,Alright we are going to do another x-ray.,,,,
294,,Alright x ray.,,,,
313,,I am going to hold your hand while they take a picture ok? We are going to take a picture of your neck and I want your shoulders to be back.,,,,
323,,Now you are going to look right up at the ceiling because we are going to take a picture of your neck. Ok?,,,,
324,,"No you just relax, I’m just going to pull your arms down like this.",,,,
329,,"Of x-rays? Nothing, her clavicle pain is now gone.",,,,
,,,,,,
160519,,,,,,
152,(0:23:14),"We are going to take an x-ray, take a picture, move your hip and your thigh where it hurts ok and then we’ll get you another room and [you’ll hang out].",,,,
165,(0:29:20),Hopefully once we get your x-rays back [we will …].,,,,
,,,,,,
160523,,,,,,
123,(0:10:31),So basic trama lab and what imaging do you want?,,,,
124,(0:10:41),"So I was just gonna get basic trama labs, neck film for the left wrist… from there that was it I think the abrasion on the right is old",,,,
164,(0:14:56),"And we'll also get plain films of the left wrist and I think we should get the distal forearms at hand, as well just give him the location of it from there. We'll get basic trama labs and pending all that imaging, I think that  we'll attempt too see what we can do with the C spine, from there",,,,
170,(0:15:54),So we'll get his C-spine here and then move him to his room,,,,
172,(0:16:58),Sure is the C-spine [...]?,,,,
174,(0:17:31),Okay C-spine order is in,,,,
185,(0:22:05),Ready? X-ray,,,,
,,,,,,
160524,,,,,,
196,(0:16:21 ),"So I think we have everything done, um it sounds more like a concussion, so I feel like I don't want to image him, I don't want any fluids. Um we're just gonna observe him, wait for his family",,,,
233,(0:21:17 ),"We're just gonna do an X-ray of his jaw, just to make sure there's no fracture there. Probably just a bruise from [housing?] his mouth and everything. Then giving him some Motrin for pain and we'll let him slowly drink and that'll be that.",,,,
,,,,,,
160602,,,,,,
114,(0:26:49),"Alright just start relaxing your arms, okay",,,,
115,(0:27:11),Alright you all ready for the X-ray?,,,,
116,(0:27:14),Alright you go ahead and pull,,,,
120,(0:27:36),"So we wanted teen size […] film, left shoulder as well",,,,
121,(0:27:50),"We only got one, two, three, four, five , barely six",,,,
122,(0:27:55),"Really, okay let's shoot it again. I'll do it better, sorry about that",,,,
123,(0:28:03),"Relax your arm's down, don't pull on your arms, just relax them down",,,,
124,(0:28:10),"Sorry, does that hurt your neck when I do it?",,,,
125,(0:28:13),Yeah,,,,
126,(0:28:14),"Just relax down, just relax",,,,
127,(0:28:17),"Hold on just one second, let me get his arm just like that",,,,
128,(0:28:32),Nice and straight,,,,
129,(0:28:33),"Alright you can, let him relax",,,,
130,(0:29:40),[You feel] anything?,,,,
131,(0:29:41),"So what we're gonna do is, move his arm up first. We're gonna raise his left arm above his head",,,,
132,(0:29:48),Can you raise your arm up above your head?,,,,
133,(0:29:52),"We tried it twice, [lateral C is fine?]. I had hard time pulling",,,,
134,(0:29:58),It was hurting or what?,,,,
135,(0:30:12),How's that shoulder?,,,,
136,(0:30:14),It hurts a bit aroud right here,,,,
137,(0:30:17),"You're gonna pull down right, on his right arm",,,,
138,(0:30:19),On his right arm?,,,,
139,(0:30:20),Yeah,,,,
140,(0:30:25),And keep his arms like flat,,,,
141,(0:30:39),You alright?,,,,
142,(0:31:14),"She's been with you before […] let me bring her in, okay",,,,
143,(0:31:32),Everybody comeback in,,,,
144,(0:31:54),"Arms right here, don't move them okay",,,,
157,(0:34:23),Okay all X-rays are done right?,,,,
162,(0:34:32),"What's left, this is just the shoulder?",,,,
163,(0:34:34),"Shoulder, spine",,,,
164,(0:34:36),Uh spine you didn't do here?,,,,
170,(0:37:08),"Uh shoulder, no I think  C-spine then shoulder",,,,
171,(0:37:14),I thought she said C-spine was done,,,,
172,(0:37:16),C-spine is done right,,,,
173,(0:37:17),"Yeah C-spine done, I don’t know they …",,,,
,,,,,,
160621,,,,,,
161,(0:21:31),There is no need for a chest X ray. Ok.,,,,
190,(0:25:19),X ray.,,,,
191,(0:25:21),Pull down.,,,,
192,(0:25:35),Ok X ray.,,,,
,,,,,,
160649,,,,,,
124,(0:10:42),He's gonna get a CT,,,,
175,(0:16:05),A lateral like C-spine or neck?,,,,
176,(0:16:05),Neck just cause he's gonna be hard to assess you know,,,,
179,(0:16:15),Lateral neck is fine,,,,
180,(0:16:21),"We're not doing CT of the neck, just the head, but lateral neck",,,,
251,(0:26:54),CT should be ready we called them earlier,,,,
272,(0:29:17),CT ready?,,,,
273,(0:29:19),Yep,,,,
274,(0:29:20),Yeah it's ready here we go,,,,
275,(0:29:24),"So after the CT, he's charged and where will he be going?",,,,
,,,,,,
 ,,,,,,
272,(0:28:06),"No labs, Oh x-rays code here.",,,,
273,(0:29:56),We're just trying to get your shoulders out of the picture.,,,,
274,(0:31:04),"Try to relax your shoulders, and look straight up at the sky.",,,,
275,(0:31:11),She’s pulling your arms down so we can see your nave ok?,,,,
276,(0:31:14),So put it at 70 and 2 O.,,,,
277,(0:31:40),[...] Shes shes in pain with me right in her arms.,,,,
278,(0:31:56),Alright.,,,,
279,(0:31:57),Wait hold on I gotta strengthen her. Look just relax ok?,,,,
280,(0:32:02),Hard thing to do. Ok so now I am going to grab ya.,,,,
281,(0:32:12),Ok just relax.,,,,
282,(0:32:24),Ahh you probably need to pull a little bit more.,,,,
283,(0:32:26),"Ok I just, i was trying to get her to take a breath and relax.",,,,
284,(0:32:30),"She she, she you just took that when she breathed in thats.",,,,
285,(0:32:42),"Ok so I have her shoulders down can, we go or no?",,,,
286,(0:33:06),I don’t know how much we can get down but.,,,,
287,(0:33:09),Her shoulders are quite high.,,,,
288,(0:33:24),Yeah her shoulders are still in the way I can’t even see t 1.,,,,
289,(0:33:27),How far down do you want to see though?,,,,
290,(0:33:29),I need I need I need to see we need to see all the separate separate spine I cannot see the last 4.,,,,
291,(0:33:39),We can try one more time if you want but other than that I think we're just going to accept that it’s.,,,,
292,(0:33:44),Can we just try one more?,,,,
293,(0:37:04),Are we going to do the other x-rays after C T or they.,,,,
294,(0:38:03),Ahh we gonna be doing the x-ray like the other x-rays in the room cause this bed is so small.,,,,
,,,,,,
160654,,,,,,
77,(0:06:02),I don’t think so just going to get me a lab he had pain in the legs so might need an x-ray.,,,,
163,(0:13:56),Ahh yes cause I think it only needs one person to go to x-ray so yes.,,,,
172,(0:15:06),I’m going to call for that right now and so he was on his bike car comes up unknown speed umm knocks him off of his bike he umm wasn’t wearing a helmet but clearly remembers he did not lose consciousness. And his primary complaint has been basicly foot to about thigh pain tenderness a lot no obvious deformities but tenders a lot when you touch right at his knee anywhere [tippet] so we’re going to make sure he does not distal femur or lower so those will have the x-rays and he just got morphine 2 milligrams with a weight of 25 kilos.,,,,
173,(0:15:40),And how about the right hip femur and below?,,,,
174,(0:15:43),Just just femur and below.,,,,
175,(0:15:46),Gotcha.,,,,
176,(0:15:46),Like pelvis is stable so I think we are ok on that thought.,,,,
183,(0:16:10),And I am going to call for a room right now while he goes to x-ray.,,,,
188,(0:17:05),X-rays ready for you.,,,,
194,(0:18:36),He’s going to another room for the x-ray.,,,,
195,(0:18:41),An x-ray is ready.,,,,
197,(0:19:07),Ok i’m not sure what you talking about that that’s ok we're getting ready to go someplace else and move on to an x-ray table so it will all be different in a sec.,,,,
,,,,,,
160723,,,,,,
160,(0:22:20),I'm sorry I didn't get all of those X-rays. I was trying to keep up with you,,,,
161,(0:22:24),"X-rays yeah so pelvis, bilateral femur, bilateral knees, bilateral tib fib, bilateral lower legs. For the left upper extremity uh humorous, elbows, radial ulna and ",,,,
222,(0:30:19),"She's not letting me get like a perfectly thorough neural exam, but maybe we'll just see what's going on with the X-rays and then I'll come back",,,,
226,(0:30:41),So are you okay if with transfer her to x-ray this way or do you want some type of immobilization?,,,,
252,(0:32:37),We're x-raying here?,,,,
258,(0:33:20),So I'm go to give the morphine after the X-ray,,,,
264,(0:33:36),Right but if she needs it while she's being manipulated in the x-ray,,,,
327,(0:42:09),And that ortho clear her that she be on position of comfort. She on the right right now. No […] until we decide when we have an idea of what we're dealing with based on x-rays,,,,
328,(0:42:24),So the only x-ray you've gotten so far is that neck or is it the chest?,,,,
367,(0:46:05),"Good so she's moving these well. Something I'm worried about is possibly something here cause she kind of keeps her arm on, so we're gonna get an x-ray. This one doesn't seem as bad. She's moving this a little bit more, it doesn't really bother her. I don't want to move that around just in case something is bad, i don't want her to get hurt.",,,,
374,(0:46:40),"So I don't think, she was holding […] sorry, just because of sort of the bruising here we're gonna get x-rays for all of her lower extremity. But I'm a little bit less worried about this one than this one and she's complaing of a little bit more pain in this one",,,,
396,(0:47:55),We're gonna get x-rays here,,,,
401,(0:48:17),"Um and you know we're gonna get the x-rays, so I can't tell you anything definetly for know, but we'll just kind of take a look and see what's going on",,,,
,,,,,,
,,,,,,
,,,,,,
160746,,,,,,
255,(0:23:58),"C spine chest, or the x ray?",,,,
256,(0:27:01),Alright are you ready to do the X ray?,,,,
,,,,,,
,,,,,,
160814,,,,,,
195,(0:27:18),"Ok as far as um, umm, x-rays concerned what do you want?",,,,
234,(0:33:43),X-rays first.,,,,
235,(0:33:44),"Oh we're doing x-ray now ok nevermind, we’ll do x-rays then let you come up.",,,,
236,(0:46:55),How how many x-rays do you need?,,,,
237,(0:46:56),Ahh 2 more.,,,,
238,(0:46:57),2 more?,,,,
239,(0:46:58),Yeah.,,,,
240,(0:46:59),Less can be elbow right? I mean the alt forearm?,,,,
241,(0:47:01),The lateral elbow and lateral [...].,,,,
242,(0:47:41),Alright get his arm in position so I don’t have to move the position.,,,,
,,,,,,
,,,,,,
160819,,,,,,
162,(0:24:05),"So he's gonna get a X-ray on that arm? Yes, no?",,,,
163,(0:24:07),"Um I don’t think so, I don’t think he needs an x-ray. So what we're gonna do…",,,,
167,(0:24:28),"Yeah Um I wanna get a chest x-ray just to make sure there's no other fracture there. Just purely based on mechanism, but um we can get a film of his right thigh to make sure he doesn't have any femur fracture there. Um and then we'll do a basic set of trauma labs and uh wound pair and we'll talk to",,,,
177,(0:25:20),"Right femur, chest x-ray, and basic trauma labs",,,,
183,(0:25:36),"Then what we're gonna do after log rolling is replace the collar, though we're not gonna get a film of the C-spine",,,,
184,(0:25:43),"Oh we can do yeah, no we'll do lateral C-spine and then we'll take him to, we'll go to CT first and then we can do lateral spine, chest x-ray",,,,
185,(0:25:53),"Right thigh, we'll do right arm as well and then uh and then basically plus or minus OR for wash up",,,,
186,(0:26:03),"Okay so to repeat basic trauma labs, chest x-ray, right thigh x-ray, C-spine x-ray, CT scan head, right arm x-ray. Thank you",,,,
226,(0:31:36),Okay we ready for x-rays?,,,,
236,(0:32:13),Who's gonna do the arms? For the c-spine x-ray,,,,
255,(0:34:38),Is x-ray ready?,,,,
266,(0:37:42),"So I just spoke to. I just spoke to ortho um we're gonna do the joint and the forearm x-ray. That's what they're requesting, but they say if it's purely soft tissues and there's no fracture joint involvement. Which I don't think is the case, I think it's purely soft tissues, then to call plastics.",,,,
267,(0:38:05),"He doesn’t think that, if it's nothing that's causable at the bedside. He said it'll be something like specialty specific either ortho or plastics, regarding the location. High [realstate?] muscle, soft tissue, bone exposure. So we'll call plastics, after ortho is done. I can even call them now and tell them that's gonna be the plan",,,,
290,(0:42:06),"Okay rest your shoulders, I want your shoulders down. There we go buddy",,,,
291,(0:42:14),Can you put your arm up on your tummy?,,,,
292,(0:42:17),"Both of them, both of them",,,,
293,(0:42:21),"Alright put them down on your thigh reach down, reach down. ",,,,
294,(0:42:27),Now relax put your head down,,,,
295,(0:42:30),"There you go that's it, that's it",,,,
296,(0:42:35),"Just relax, let you shoulder go back",,,,
297,(0:42:43),Ready?,,,,
298,(0:42:47),X ray,,,,
299,(0:42:52),Relax for a second,,,,
300,(0:43:38),We have to put the plate under him for his chest,,,,
319,(0:46:23),"X-ray take another big breath, big breath hiney and hold up. Breathe",,,,
326,(0:47:25),"Are you guys, do you guys know if you're ready for him in x-ray? Should we go there first?",,,,
329,(0:47:40),They want to do the elbow and the forearm and then the femur for x-ray and the CT head,,,,
341,(0:49:25),So we're gonna have additional x-rays on his arms and legs. We're gonna do that,,,,
,,,,,,
,,,,,,
161214,,,,,,
123,(0:13:10),chest x-rays as well as C Spine.,,,,
126,(0:13:20),Basic labs. Chest x-ray and C spine x-rays.,,,,
158,(0:17:45),"I don’t have the x-rays ready, I’m waiting for the x-rays to pop up.",,,,
,,,,,,
Time,Speech,,,,,
160621,,,,,,
0:23:06,C spine with basic trauma labs,,,,,
,,,,,,
0:23:22,There is no need for a chest X ray. Ok.,,,,,
0:23:25,Do you want to do the film here?,,,,,
0:25:14,"So mom we will be taking the X ray in a moment so we will have you step back around the corner there and then you can come right back, ok?",,,,,
0:25:21,"Common buddy, this is your collar you, you look good in this, me I couldn't do it.",,,,,
,,,,,,
160737,,,,,,
0:12:40,"I have labs here the CT read, they're flagged in this chart",,,,,
0:12:46,"Here's the CT, I'm going to give this to you in case you want to fill it out",,,,,
,,,,,,
0:16:27,"You don't need lateral, you're not too concern about it, but lateral x-rays",,,,,
0:16:34,"No we do not have too. We can watch him move, we can see him turn, him demonstrate his hand stability",,,,,
,,,,,,
0:20:56,So we want poly basic trauma labs?,,,,,
,,,,,,
160746,,,,,,
0:23:40,Forget palpate for tenderness let’s just put it on minor [imaged] for now we’ll get a lateral C spine.,,,,,
,,,,,,
0:24:41,"Alright we’re going to conclude our secondary survey at this point. So we are getting basic labs were putting in 1 liter of fluid, were getting C T head, max face bilateral temporal bones. Umm anyone have any other concerns at this time?",,,,,
,,,,,,
0:25:38,You want to do the lateral C spine here or yeah?,,,,,
0:25:56,"C spine chest, or the x ray?",,,,,
0:26:00,C T of the max and face.,,,,,
0:26:03,Yeah well the head C T is going to have what’s called temporal cuts so they cut closer around the bones where they keep the blood in the temporal ahh cause if you do two wide you might miss a fracture so they have to be very fine cuts.,,,,,
0:26:15,And what is it called? Ahh a temporal bone C T.,,,,,
,,,,,,
0:28:59,Alright are you ready to do the X ray?,,,,,
,,,,,,
160814,,,,,,
0:27:34,So you want basic trauma labs?,,,,,
0:27:36,Yeah we’ll get a basic set.,,,,,
0:27:37,"Ok as far as um, umm, x-rays concerned what do you want?",,,,,
0:27:41,Ahh so I’m going to want left clavicle upper arm elbow.,,,,,
0:27:46,Left clavicle you want elbow?,,,,,
,,,,,,
0:31:50,So as we get the labs and give him some pain medicine that’s about it.,,,,,
0:32:02,Just a basic labs..,,,,,
0:32:05,Ahh lateral C-spine umm left clavicle upper arm elbow.,,,,,
,,,,,,
0:32:49,I can get away with 2.,,,,,
,,,,,,
0:34:02,X-rays first.,,,,,
0:34:03,"Oh we're doing x-ray now ok nevermind, we’ll do x-rays then let you come up.",,,,,
,,,,,,
0:34:28,Just gonna pull the arms.,,,,,
0:34:35,I want to ask him how to put it in.,,,,,
0:34:48,K putting in the clavicle the only thing I’m getting when I type it in is clavicle H [...].,,,,,
0:35:05,Could you put that one in put it under her?,,,,,
0:35:08,Yeah clavicle [...].,,,,,
0:36:24,"Umm, it's going to 38. Ok.",,,,,
0:36:27,I think 1 90.,,,,,
0:36:58,Do do the whole x-rays here or no?,,,,,
0:41:39,Forearm?,,,,,
0:42:17,Only other injury is a contusion to the back of the head but we’re not going to C T we’re just gonna monitor it. Umm and it looked like ahh.,,,,,
0:42:29,I I missed that part where they contusion in the back objectile area?,,,,,
,,,,,,
160819,,,,,,
0:26:30,"So he's gonna get a X-ray on that arm? Yes, no?",,,,,
0:26:32,"Um I don’t think so, I don’t think he needs an x-ray. So what we're gonna do…",,,,,
0:26:39,Uh No I would leave him in for now just because of distracting injury and we're giving him the morphine. I'll leave it in the collar. I would scan his head just based on the mechanism,,,,,
0:26:53,"Yeah Um I wanna get a chest x-ray just to make sure there's no other fracture there. Just purely based on mechanism, but um we can get a film of his right thigh to make sure he doesn't have any femur fracture there. Um and then we'll do a basic set of trauma labs and uh wound pair and we'll talk to",,,,,
,,,,,,
0:27:32,No arm just to make sure he didn't?,,,,,
0:27:34,It's not because he has full function of his arm,,,,,
0:27:39,Yeah we'll get him off the board,,,,,
0:27:45,"Right femur, chest x-ray, and basic trauma labs",,,,,
,,,,,,
0:28:01,"Then what we're gonna do after log rolling is replace the collar, though we're not gonna get a film of the C-spine",,,,,
0:28:08,"Oh we can do yeah, no we'll do lateral C-spine and then we'll take him to, we'll go to CT first and then we can do lateral spine, chest x-ray",,,,,
0:28:18,"Right thigh, we'll do right arm as well and then uh and then basically plus or minus OR for wash up",,,,,
0:28:28,"Okay so to repeat basic trauma labs, chest x-ray, right thigh x-ray, C-spine x-ray, CT scan head, right arm x-ray. Thank you",,,,,
0:28:45,Let's just do a quick log roll,,,,,
0:28:58,"Log roll, back down, switch out collar. Then lateral C-spine, chest […] do",,,,,
,,,,,,
0:34:01,Okay we ready for x-rays?,,,,,
,,,,,,
0:34:38,Who's gonna do the arms? For the c-spine x-ray,,,,,
0:35:03,I couldn't tell if you were having a seizure,,,,,
0:37:03,Is x-ray ready?,,,,,
0:40:07,"So I just spoke to. I just spoke to ortho um we're gonna do the joint and the forearm x-ray. That's what they're requesting, but they say if it's purely soft tissues and there's no fracture joint involvement. Which I don't think is the case, I think it's purely soft tissues, then to call plastics.",,,,,
0:40:30,"He doesn’t think that, if it's nothing that's causable at the bedside. He said it'll be something like specialty specific either ortho or plastics, regarding the location. High [realstate?] muscle, soft tissue, bone exposure. So we'll call plastics, after ortho is done. I can even call them now and tell them that's gonna be the plan",,,,,
0:42:01,"Yeah so this this, CT, x-rays…",,,,,
0:42:26,Six point six on the calcium okay,,,,,
0:45:12,X ray,,,,,
0:46:03,We have to put the plate under him for his chest,,,,,
0:46:43,You're gonna roll him towards me and put the plates on that side?,,,,,
0:48:28,Seventy-two,,,,,
0:49:32,"They said it was forearm elbow. So make sure its forearm, elbow ",,,,,
0:50:05,They want to do the elbow and the forearm and then the femur for x-ray and the CT head,,,,,
0:50:55,It's over seventy-three and yep,,,,,
0:51:50,So we're gonna have additional x-rays on his arms and legs. We're gonna do that,,,,,
,,,,,,
,,,,,,
,,,,,,
Key Words,,,,,,
x-ray',,,,,,
trauma labs',,,,,,
CT',,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Transcript/Line,Time,Speech,,,,
,,,,,,
161211,,,,,,
33,(0:11:40),"Let's get a [comprehense?] of lab panel for blood work, Head CT, C-spine",,,,
,,,,,,
134,(0:21:16),"Let's get a film, so we can confirm placement",,,,
135,(0:21:20),Sure sure yeah yeah,,,,
,,,,,,
139,(0:21:36),Can we get the transfer monitors ready? We're gonna need to hook him up and try to get him in the scanner in the next ten minutes,,,,
140,(0:21:44),"Alright it's seventeen o nine. Ten minutes to get to scanner, so let's get that x-ray now. Let's get the transfer moitor on nurse Wright. Get the ativan drawn up",,,,
146,(0:22:29),"Okay yeah that's fine, just get the x-ray on the backboard that's fine",,,,
,,,,,,
153,(0:22:53),CT's ready when you guys are,,,,
154,(0:22:58),Uh thank you very much,,,,
155,(0:23:12),Just go ahead x-ray,,,,
156,(0:23:14),Coming right behind you with the machine,,,,
,,,,,,
162,(0:23:35),We're gonna scan?,,,,
163,(0:23:35),We're not going to scan,,,,
164,(0:23:43),"Uh not yet, but I'm gonna tell him that",,,,
,,,,,,
171,(0:24:30),We're gonna get him off the board as soon as they get the x-ray,,,,
172,(0:24:33),And you wanna just keep the hard collar on fo now?,,,,
173,(0:24:35),"Yeah, we change it up in the room",,,,
174,(0:24:40),Alright we're ready for x-ray guys,,,,
,,,,,,
182,(0:25:10),Your [entitles?] in the fifites,,,,
183,(0:25:14),Alright we're ready,,,,
184,(0:25:15),"You guys [entitles?] in the fifites, fifty-two",,,,
185,(0:25:19),Do yall want his head straighten up cause it's leaning to the side or he's fine however he is?,,,,
186,(0:25:40),"Alright get ready to do the x-ray, those who need to step out, x-ray",,,,
187,(0:25:56),Yes nurse has already been called,,,,
188,(0:25:57),Guys can we get him off the board?,,,,
189,(0:26:02),Just get him ready to roll,,,,
190,(0:26:04),And then we'll get him to CT,,,,
191,(0:26:10),Tube looks good let's move let's go to CT now.,,,,
192,(0:26:12),Wait wait let's get him off the board. Off the board then to CT,,,,
193,(0:26:15),Are they ready ?,,,,
194,(0:26:17),Yeah CT is ready,,,,
,,,,,,
221,(0:28:36),I thought we were gonna go to CT,,,,
222,(0:28:37),"Yeah we are going to CT, yeah",,,,
223,(0:28:38),Yeah CT before everything,,,,
,,,,,,
234,(0:29:29),"Alright as soon as the tube is in, we'll go to CT-scan",,,,
235,(0:29:38),You have enough for uh trauma labs and stuff?,,,,
241,(0:30:06),That's fine let's go to the CT scan,,,,
,,,,,,
,,,,,,
170107,,,,,,
252,(0:25:06),"Okay, so so far just C-spine, x-rays, and basic trauma labs",,,,
,,,,,,
268,(0:26:00),So just cervical spine x-ray?,,,,
269,(0:26:08),There's no deformities,,,,
270,(0:26:11),Are we doing a head CT?,,,,
271,(0:26:12),After yeah,,,,
272,(0:26:18),We'll get her on monitor,,,,
273,(0:26:21),"We'll get her a travel monitor, while they get ready for the x-ray",,,,
274,(0:26:30),Are we doing the C-spine here?,,,,
275,(0:26:31),"Yeah so we're doing C-spine and then we have a basic trauma lab, so we got head CT in room nine",,,,
276,(0:26:36),Did she answer her any questions appropriately after that?,,,,
277,(0:26:39),I mean she answered the question about her head. She said her head was hurting,,,,
278,(0:26:43),Okay,,,,
279,(0:26:57),Do you want a [bandroo?]?,,,,
280,(0:26:58),Yes please,,,,
281,(0:27:02),"Thirty seconds, until x-ray",,,,
282,(0:27:28),She used her ankle,,,,
283,(0:27:35),"If you plan on leaving, nows the time",,,,
284,(0:28:02),Yeah,,,,
285,(0:28:15),Don't move your head,,,,
286,(0:28:22),X-ray is all clear,,,,
287,(0:28:24),Just for future reference umm,,,,
