,Time,Speech,Observation by Code,Common words,General Observation,
144,,We’re getting morphine right now.,,,,
147,,Two of morphine going in.,,,,
212,,"Open up buddy, the medicine is gonna help.",,,,
,,,,,,
160436,,,,,,
19,,We don’t know the allergy do we? Just get clinda. 600 of clinda.,,,,
20,,600 of clinda from my med nurse please.,,,,
56,,Did we give him any pain medicine?,,,,
57,,No.,,,,
58,,"What’s your pain, zero to ten, ten is the worst pain ever, zero is none at all",,,,
59,,About a seven.,,,,
60,,"About a seven, I'm going to see if I can get you some pain medicine.",,,,
61,,"Give him a little morphine maybe, ya no, just a little something.",,,,
64,,"Ya, he is not allergic to anything except penicillin.",,,,
65,,"Verbal order morphine, 4 millimeters.",,,,
66,,We are going to give you some pain medicine to help with the pain.,,,,
71,,"So we are giving him this morphine, then we are going to role?",,,,
72,,"Ok buddy, here is the pain medicine. It's good stuff, but it may make you feel a little weird, but that's ok, it is going to help the pain.",,,,
73,,"How much, umm, how much morphine?",,,,
74,,4 milligrams morphine sir.,,,,
,,,,,,
160505,,,,,,
51,,"Yeah, we'll complete just our secondary and then go ahead with some pain medication forms",,,,
,,,,,,
160511,,,,,,
162,,"At the most she is going to get some saline and morphine, so it won't",,,,
194,,I have fentanyl pulled up if you guys need fentanyl for her,,,,
,,,,,,
160519,,,,,,
121,(0:19:05),"No, you didn’t eat anything? Didn't drink anything? Take your medicine?",,,,
145,(0:21:34),How much morphine?,,,,
146,(0:21:35),"Ahh, [P.H.] 50 so [I don't know] 4.",,,,
,,,,,,
160523,,,,,,
120,(0:10:16),You said 2 milligrams?,,,,
121,(0:10:17),Yeah we'll start with that,,,,
122,(0:10:19),2 milligrams of morphine,,,,
127,(0:11:07),Is the morphine in?,,,,
128,(0:11:09),It's going ,,,,
,,,,,,
160524,,,,,,
199,(0:16:58 ),"And we'll reassess his [jog?], give him some ibuprofen actually, can he got ah 400 of ibuprofen",,,,
202,(0:17:11 ),Okay so let's give him 600 of ibuprofen and get him over to Main ED. Does anyone else have any other concern issues?,,,,
,,,,,,
160602,,,,,,
97,(0:23:33),Alright we'll give you some medicine for that,,,,
,,,,,,
160621,,,,,,
159,(0:21:27),I don’t think he needs any medication.,,,,
,,,,,,
160649,,,,,,
170,(0:15:47),Will we be giving him any pain medication?,,,,
171,(0:15:49),No,,,,
,,,,,,
160652,,,,,,
199,(0:17:56),Can we get ahh umm 5 milligrams of morphine please.,,,,
227,(0:21:39),"Basic trauma lads, she has had one dose of morphine from here she can scatter and then to a D D room.",,,,
229,(0:21:46),I was just about to say I haven’t given the morphine.,,,,
238,(0:23:17),How much morphine?,,,,
239,(0:23:32),"500, 5 50 no was it was it L R? Thanks.",,,,
240,(0:27:08),There’s a 5 going around on morphine.,,,,
241,(0:27:28),"Ahh no, just hang out. Morphine 5 at 10 O 4.",,,,
,,,,,,
160654,,,,,,
123,(0:09:45),"So ahh would you guys like some morphine? He seems to be in a lot of pain when we do anything, so you want to do [why fine with] 25 kilos, you want to do 2 milagrams?",,,,
124,(0:09:54),"2 is fine, yeah.",,,,
125,(0:09:56),Linda 2 milligrams of morphine.,,,,
161,(0:13:27),Morphine 2 milligrams.,,,,
,,,,,,
160723,,,,,,
105,(0:14:51),Can I get some morphine?,,,,
108,(0:15:03),Can I get an order for morphine?,,,,
109,(0:15:04),Point O five per,,,,
110,(0:15:10),We're going buy fifteen order?,,,,
111,(0:15:14),We still have like one milligram,,,,
144,(0:19:41),"One dose of morphine, okay perfect",,,,
155,(0:20:53),"Okay that's one milligram of morphine, right?",,,,
247,(0:32:24),Another dose of morphine for filming?,,,,
248,(0:32:26),"Yeah yeah that's fine, so another milligram of morphine for transport",,,,
256,(0:32:55),Morphine now or?,,,,
258,(0:33:20),So I'm go to give the morphine after the X-ray,,,,
280,(0:35:11),We're okay with antibiotics. We got morphines and we got fluid going,,,,
413,(0:49:19),It was just morphine,,,,
,,,,,,
160737,,,,,,
126,(0:21:35),Did we give him drugs?,,,,
127,(0:21:38),No we did give him any medicine ,,,,
128,(0:21:40),No but we did give him some sugar water,,,,
,,,,,,
,,,,,,
160746,,,,,,
178,(0:17:45),Actually you want a loner?,,,,
179,(0:17:48),8 milagrams.,,,,
201,(0:19:25),We’re going to give you some medicine for that ok?,,,,
209,(0:20:19),Pushing 8 milligrams.,,,,
210,(0:20:20),Alright make sure someone is still stabilizing. Ok 8 milligrams of Zofran.,,,,
237,(0:22:56),Would you like me to prepare any medication for the travel and what we may expect?,,,,
238,(0:23:00),Ahh So 4 milligrams of zofran umm in terms of I would like to keep him off narcotic now if he’s ok without it.,,,,
239,(0:25:27),Zofran right that was it?,,,,
240,(0:30:37),Do we have any tylenol or ibuprofen?,,,,
241,(0:30:39),They don’t want like any narcotics.,,,,
242,(0:30:42),"Tylenol or ibuprofen here, I don’t think so right? They don’t want for the pain like back of head he said 6 out of 10. They don’t want any [corn] yeah they didn’t want any narcotics.",,,,
243,(0:30:54),He said tylenol or ibuprofen anything a little.,,,,
,,,,,,
,,,,,,
160814,,,,,,
228,(0:32:49),Morphine point 9.,,,,
229,(0:32:58),Shaun gave me point 9 milligrams of morphine for [...].,,,,
230,(0:47:53),But just wait till the next dose of pain medicine.,,,,
231,(0:48:16),It was just like umm it was given a umm 1 O 5 [diagnosis] for the next 16 minutes so another 4 minutes probably.,,,,
232,(0:49:15),Ahh can we give another umm morphine? It was given like more than 15 minutes ago.,,,,
233,(0:49:22),"No its it’s 2 an hour ok so we can give it ok, yeah he did I told yeah alright thank you alright bye. Umm she won’t, she says 2 every hour that’s what she said but [actually give] every 30 minutes.",,,,
,,,,,,
,,,,,,
160819,,,,,,
165,(0:24:14),Uh No I would leave him in for now just because of distracting injury and we're giving him the morphine. I'll leave it in the collar. I would scan his head just based on the mechanism,,,,
179,(0:25:24),"Alright so we're giving morphine now, we're gonna log roll him in a second. We'll take care of that right elbow when we do so, right thigh as well",,,,
180,(0:25:33),How much morphine?,,,,
181,(0:25:34),Two of morphine,,,,
230,(0:31:44),One gram,,,,
232,(0:31:47),"Two of morphine, gram of […], and half […]",,,,
233,(0:31:57),You said one gram right?,,,,
234,(0:31:59),Hmm hm hm,,,,
,,,,,,
,,,,,,
161130,,,,,,
113,(0:13:19),"And you guys didn't have to give him any medicine, right?",,,,
114,(0:13:20),No,,,,
,,,,,,
,,,,,,
161214,,,,,,
128,(0:13:46),I have 2 morphine's on that.,,,,
141,(0:15:56),So what she just got the morphine is that right?,,,,
142,(0:15:59),Thats correct.,,,,
143,(0:16:00),It was 2 mil what how many?,,,,
144,(0:16:01),2,,,,
145,(0:16:01),2 milligrams of morphine.,,,,
,,,,,,
Time,Speech,,,,,
160621,,,,,,
0:23:14,Could we please just get a bag on him?,,,,,
0:23:18,I don’t think he needs any medication.,,,,,
,,,,,,
160737,,,,,,
0:24:29,Did we give him drugs?,,,,,
0:24:32,No we did give him any medicine ,,,,,
0:24:34,No but we did give him some sugar water,,,,,
,,,,,,
160746,,,,,,
0:19:43,Actually you want a [loner]?,,,,,
0:19:46,8 milagrams.,,,,,
,,,,,,
0:20:54,Ok if we give him a little fluid?,,,,,
0:20:56,Absolutly 1 liter.,,,,,
0:20:58,Give L R and S whatever.,,,,,
0:21:01,Did you guys here that 1 liter L R?,,,,,
,,,,,,
0:21:23,We’re going to give you some medicine for that ok?,,,,,
,,,,,,
0:22:17,Pushing 8 milligrams.,,,,,
0:22:18,Alright make sure someone is still stabilizing. Ok 8 milligrams of Zofran.,,,,,
0:22:23,Left the I V.,,,,,
,,,,,,
0:23:51,Yeah let’s just put the Miami J on,,,,,
0:24:00,"Tell them C T head temporal cuts, yeah exactly. And ahh noes you want to do maxwell face as well or?",,,,,
0:24:36,"I I put maxwell face as well yeah, as well as temporal bone cuts.",,,,,
,,,,,,
0:24:54,Would you like me to prepare any medication for the travel and what we may expect?,,,,,
0:24:58,Ahh So 4 milligrams of zofran umm in terms of I would like to keep him off narcotic now if he’s ok without it.,,,,,
0:25:06,Umm yeah [minimum of 1] ahh we probably don’t need any fluid cause he’s got a relatively decent blood pressure at this point so.,,,,,
0:25:17,No keep him off it? Or keep him on fluid.,,,,,
0:25:21,"Yeah, I just mean he doesn’t need more.",,,,,
0:25:23,No additional fluids yeah. Are you sure you want another food to travel with?,,,,,
,,,,,,
0:26:52,Alright who’s gonna pull on the arms? Zofran right that was it?,,,,,
,,,,,,
0:32:08,L R? 1 liter yup.,,,,,
0:32:35,Do we have any tylenol or ibuprofen? They don’t want like any narcotics.,,,,,
0:32:40,"Tylenol or ibuprofen here, I don’t think so right? They don’t want for the pain like back of head he said 6 out of 10. They don’t want any [corn] yeah they didn’t want any narcotics.He said tylenol or ibuprofen anything a little.",,,,,
,,,,,,
160814,,,,,,
0:27:55,[...] Order morphine.,,,,,
,,,,,,
0:29:10,So he’s going to be N P O.,,,,,
0:29:20,Want to give him atex fluids once we get the I V?,,,,,
,,,,,,
0:33:08,Morphine point 9.,,,,,
0:33:17,Shaun gave me point 9 milligrams of morphine for [...].,,,,,
,,,,,,
0:34:17,Lizz gave him some pain medicine he’s gonna start feeling a lot better.,before,00:33:26,00:34:31,Pain Medication-SA,
,,,,,,
0:42:52,Do you have any further need medication miss?,,,,,
,,,,,,
160819,,,,,,
0:27:28,"We can do maintenance fluids, is there anything else?",,,,,
,,,,,,
0:27:49,"Alright so we're giving morphine now, we're gonna log roll him in a second. We'll take care of that right elbow when we do so, right thigh as well",during,,,,
0:27:58,How much morphine?,during,,,,
0:27:59,Two of morphine,during,00:27:35,00:28:21,Pain Medication-SA,
,,,,,,
0:31:34,Maintenace fluids …,,,,,
0:32:07,TM's are cleared,,,,,
,,,,,,
0:34:01,Where you push him on?,,,,,
0:34:09,One gram,,,,,
0:34:12,"Two of morphine, gram of […], and half […]",,,,,
0:34:22,You said one gram right?,,,,,
,,,,,,
,,,,,,
,,,,,,
Key Words,,,,,,
drugs',,,,,,
medicine',,,,,,
milligrams',,,,,,
grams',,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Transcript/Line,Time,Speech,,,,
,,,,,,
161208,,,,,,
98,(0:12:27),Ahh I don't think we need to send any labs but we are going to need to give some pain meds.,,,,
99,(0:12:44),35 4 P O,,,,
100,(0:12:47),35 4,,,,
102,(0:13:04),I Vs but we're going to give you one so we can give you some pain medicine ok?,,,,
105,(0:13:11),Cause your your arm is ahh gonna probably need to be set by the orthopedic surgeon which won't feel good if we don't give you pain medicine first ok.,,,,
,,,,,,
156,(0:17:00),Ok we're going to give some morphine to you now.,,,,
,,,,,,
217,(0:30:19),I'm giving you some anti drowsy medicine.,,,,
218,(0:30:21),Ok.,,,,
,,,,,,
,,,,,,
161211,,,,,,
90,(0:16:09),Can we start getting mannitol gram for kilos ready and let's estimate 20 kilos as his weight for the mannitol,,,,
91,(0:16:16),Twenty gages left AC,,,,
92,(0:16:20),"Twenty for the mannitol, so for the higher end for the mannitol",,,,
,,,,,,
106,(0:17:55),Twenty grams of mannitol going in now,,,,
,,,,,,
110,(0:18:57),I'm gonna give the ativan two milligrams,,,,
111,(0:19:03),Ativan,,,,
112,(0:19:04),Two milligrams,,,,
113,(0:19:28),Twenty grams of mannitol correct?,,,,
114,(0:19:42),Do we have the meds for intubation?,,,,
115,(0:19:44),Yes I do,,,,
116,(0:19:47),Do you guys have the meds?,,,,
117,(0:19:48),Yes we do,,,,
118,(0:19:50),All ready to go?,,,,
119,(0:19:51),Yep,,,,
120,(0:19:58),Okay let's get the meds and then go,,,,
121,(0:20:07),Giving zero point three four milligrams of atropine,,,,
122,(0:20:13),Atropine in,,,,
123,(0:20:19),Thirty four milligrams of […] left,,,,
124,(0:20:28),When you're done can I get some mannitol ?,,,,
125,(0:20:33),Yeah okay,,,,
,,,,,,
136,(0:21:24),"Uh no I want ativan to go with you guys, over there a bunch of doses of ativan.",,,,
137,(0:21:29),Okay yeah I got it,,,,
138,(0:21:30),"For in CT I don't want to see anything, I don't want him moving. Uh a bunch of ativan, like 3 doses of ativan maybe for over there",,,,
,,,,,,
147,(0:22:34),Thank you I did mannitol,,,,
148,(0:22:36),Yeah that's fine,,,,
149,(0:22:38),"Three percent good, everything we need",,,,
150,(0:22:39),Yes,,,,
151,(0:22:40),Everyone's in agreement on three percent,,,,
,,,,,,
175,(0:24:42),"Give him another ativan, right now",,,,
176,(0:24:44),"One more ativan, two milligrams",,,,
177,(0:24:49),Two more milligrams of what?,,,,
178,(0:24:50),Ativan,,,,
179,(0:24:53),Why are we giving ativan?,,,,
180,(0:24:56),"So have the ativan ready [zick it?] with a head trauma. We only give ativan to [baby company?]. I'll talk to her, yeah but we really need to reassess there neural status. They don't need to be sedated",,,,
,,,,,,
196,(0:26:32),So we gave him atropine. We gave him atropine,,,,
,,,,,,
201,(0:27:09),Uh what's he dong now? Now I made need more sedation,,,,
,,,,,,
225,(0:28:43),We need to sedate him now,,,,
226,(0:28:44),Sedate him please,,,,
231,(0:29:16),Ativan given?,,,,
232,(0:29:17),Ativan given,,,,
233,(0:29:18),Excellent two milligrams of ativan given,,,,
236,(0:29:46),Oh he's moving more than he was even on [vival?],,,,
237,(0:29:51),Well that's good,,,,
238,(0:29:52),"Do the second ativan, please",,,,
239,(0:29:55),"Whatever you got, if it's ready to be given just give it. It just needs to slow him a little bit, so we can get this done",,,,
,,,,,,
247,(0:30:36),"Yeah give a dose of ativan, give a dose of mannitol. Please give […] before leaving and have a couple doses there because I don't want him waking up",,,,
,,,,,,
,,,,,,
170107,,,,,,
259,(0:25:37),Wait do we want to give anything for pain?,,,,
260,(0:25:40),Does she have any pain right now?,,,,
261,(0:25:42),She was saying her head,,,,
,,,,,,
,,,,,,
170122,,,,,,
66,0:03:36,"You've, you've had all your shots right?",,,,
67,0:03:38,He doesn't know anything,,,,
68,0:03:39,You don't know? Alright let's give him tetanus please.,,,,
69,0:03:42,Tetanus?,,,,
70,0:03:42,Yup. TDAP,,,,
,,,,,,
74,0:04:00,Can he have some more pain meds?,,,,
75,0:04:03,Yea let's give him 5 of morphine please.,,,,
76,0:04:07,Can I have a call back on that?,,,,
77,0:04:09,Can I have a call back on that?,,,,
78,0:04:11,"5 of morphine right here, sorry.",,,,
79,0:04:12,"Yea, thank you.",,,,
,,,,,,
116,0:05:45,"Can we ordered a tetanus and uh morphine, do you wanna give ancef as well",,,,
117,0:05:50,Uh sure.,,,,
118,0:05:51,Okay can we have a gram of ancef please.,,,,
119,0:05:53,Ancef yup right here.,,,,
120,0:05:54,Can I have a call back on that please,,,,
121,0:05:56,1 gram of ancef.,,,,
122,0:05:57,Thank you and did we give the TDAP of any,,,,
123,0:06:00,TDAP I have it right here yea I haven't got it actually,,,,
124,0:06:01,I'm gonna get 5 mg of morphine.,,,,
127,0:06:07,Just giving 5 mg of morphine,,,,
128,0:06:09,Thank you,,,,
,,,,,,
142,0:06:48,So far just morphine right,,,,
,,,,,,
166,0:08:18,Did we give him antibiotics,,,,
167,0:08:23,Gram of ancef,,,,
168,0:08:25,Ancef? A gram?,,,,
169,0:08:31,"You might get relaxed, you might go to sleep, you might not, but they're checking you out anyways.",,,,
171,0:08:38,They've got the um tetanus. ,,,,
,,,,,,
253,0:14:40,Has he had his tetanus...,,,,
254,0:14:48,It's not a big deal,,,,
,,,,,,
265,0:16:16,"Gave the tetanus, TDAP, whatever",,,,
266,0:16:17,Thank you,,,,
,,,,,,
281,0:21:38,"So he's still 6 out of 10 pain so we could give, he got 5 g morphine, he could have another",,,,
282,0:21:49,You want to mark him 130 on the left leg?,,,,
283,0:21:50,Sure,,,,
284,0:22:12,"Just let us know when you want to get more pain meds, he got 5 already",,,,
285,0:22:19,How much did he get,,,,
286,0:22:20,Five,,,,
287,0:22:21,Morphine?,,,,
288,0:22:22,He could have another 5,,,,
289,0:22:23,"Yeah, thats fine",,,,
297,0:23:38,Could you give - morphine?,,,,
298,0:23:48,I got a flush right here sir,,,,
299,0:23:54,"Okay, we're gonna give you some more pain medicine...no more shots",,,,
,,,,,,
305,0:25:06,"It was five, right?",,,,
306,0:25:07,"5 mg morphine, right now",,,,
,,,,,,
,,,,,,
170449,,,,,,
12,0:07:06,Any meds given?,,,,
13,0:07:07,No meds given. Didn't run an IV or anything.,,,,
,,,,,,
,,,,,,
170442,,,,,,
71,0:18:44,Morphine,,,,
72,0:18:38,1mg,,,,
74,0:18:58,"Get ready to give morphine, 1 mg, to right PC",,,,
75,0:19:25,Morphine onboard,,,,
,,,,,,
,,,,,,
170441,,,,,,
15,0:20:45,"We gave acetominophen, 120 mg at 16:10. 16 o'clock, sorry.",,,,
,,,,,,
,,,,,,
170434,,,,,,
4,0:00:34,"Alright baby, we'll give you some pain medication in one sec okay?",,,,
5,0:00:40,One sec.,,,,
,,,,,,
46,0:03:18,"Um, --, as soon as we get a bp, we should give him some pain meds.",,,,
,,,,,,
73,0:04:44,"You're okay, we're about to give you some pain medicine, baby.",,,,
,,,,,,
81,0:05:02,Can I do pain medicine first is that alright?,,,,
82,0:05:03,That's fine,,,,
83,0:05:04,Alright,,,,
85,0:05:13,"Hold on, let's get it working first",,,,
86,0:05:13,Ho we need to give pain medicine first,,,,
87,0:05:15,Are you allergic to anything you know of?,,,,
88,0:05:18,Grass,,,,
89,0:05:19,You allergic to grass? Alright not giving you any grass.,,,,
90,0:05:24,How many milligrams of morphine?,,,,
91,0:05:26,4...milligrams of morphine going in.,,,,
92,0:05:30,"You should start to feel this pretty quickly, okay?",,,,
,,,,,,
99,0:06:05,"Morphine is in, any questions",,,,
,,,,,,
,,,,,,
170407,,,,,,
15,0:07:19,"Alright she's got blood, FFP, she's got insulin, uh D10, and epi, running at 0.1 per kilo",,,,
,,,,,,
77,0:10:19,"I need more, I, I need 3 CCs more of",,,,
78,0:10:21,She was 94.1 when we left,,,,
79,0:10:25,"Yeah I need, I need more",,,,
,,,,,,
87,0:10:40,I guess I'm thinking we're BVG here but we got it,,,,
88,0:10:42,"You guys have insulin and um epi in terms, we have epi",,,,
,,,,,,
135,0:12:49,So insulin's running here and it's run in the-,,,,
136,0:12:52,I'm gonna go up and over okay guys,,,,
137,0:12:56,We have the epi on the syringe to switch over,,,,
,,,,,,
,,,,,,
170336,,,,,,
5,0:21:17,He's had a few PO mg at 7:30 when he got into the hospital and did the NPO 6,,,,
,,,,,,
,,,,,,
170335,,,,,,
11,0:11:32,When did he get the morphine,,,,
12,0:11:34,The morphine probably 40 minutes ago,,,,
,,,,,,
,,,,,,
170331,,,,,,
93,0:09:06,Does that hurt,,,,
94,0:09:08,2mg or morphine,,,,
95,0:09:09,2 mg of morphine thank you,,,,
98,0:09:18,Hello we're gonna give you some medicine for the pain okay,,,,
,,,,,,
,,,,,,
170223,,,,,,
26,0:08:27,"Um he had uh 800 of kepra, he had a gram of ancep, and -- has a print of what was there",,,,
27,0:08:33,Nothing for pain so whoever's here a little bit of morphine with an ode,,,,
28,0:08:38,It's a 90 on the wrist,,,,
,,,,,,
,,,,,,
170210,,,,,,
63,0:06:36,And she's on amoxicillin right now for her tightness.,,,,
,,,,,,
,,,,,,
170120,,,,,,
47,0:18:21,420 mg of keppra started,,,,
,,,,,,
,,,,,,
170114,,,,,,
49,0:02:01,"Weakness in all four extremities, hypoglycemic, despite D50 is a known asthmatic",,,,
51,0:02:08,"He was given oral glucose, not D50, oral glucose",,,,
56,0:02:14,He has not been given D50,,,,
,,,,,,
,,,,,,
170110,,,,,,
17,0:01:21,Any meds?,,,,
,,,,,,
92,0:06:08,"No allergies, no medical problems, fully immunized",,,,
,,,,,,
,,,,,,
161227,,,,,,
34,0:03:06,How much more do you want of this,,,,
35,0:03:08,Um he can have 5 mg please,,,,
,,,,,,
79,0:05:24,He's getting basic trauma labs and a dose of morphine at handset has been requested,,,,
,,,,,,
85,0:05:51,5 mg of morphine,,,,
86,0:05:52,You okay if he gets a single dose of morphine,,,,
89,0:05:55,You okay if he gets a dose of morphine,,,,
90,0:05:56,Yeah,,,,
93,0:05:59,Please go ahead and give the dose of morphine to -- to give,,,,
94,0:06:03,"Good, good, good, good, good",,,,
,,,,,,
109,0:06:58,Put 5 mg of morphine,,,,
,,,,,,
122,0:07:47,Morphine's finished,,,,
125,0:07:53,"Dehydrated, take any medications or anything, any surgeries in the past, any allergies",,,,
,,,,,,
,,,,,,
170105,,,,,,
4,0:01:04,We should obtain access and give some morphine,,,,
,,,,,,
7,0:01:12,Past medical history of shots?,,,,
8,0:01:13,Just one,,,,
9,0:01:14,Up to date?,,,,
10,0:01:14,Up to date,,,,
12,0:01:16,"And uh, no allergies",,,,
,,,,,,
60,0:03:37,"No known drug allergies, no medical problems",,,,
,,,,,,
143,0:06:43,"3 mg morphine going in, thanks",,,,
,,,,,,
175,0:07:45,Morphine 3,,,,
176,0:07:46,3 mg correct,,,,
,,,,,,
,,,,,,
161219,,,,,,
55,0:03:47,3 CC's are ready,,,,
56,0:03:50,We'll get him um 5 CC's we got 'em,,,,
,,,,,,
72,0:05:29,Med's in trauma,,,,
73,0:05:31,One more 3 CC please,,,,
,,,,,,
96,0:08:08,"Should we talk about 2 elicit morphine, kid is in pain",,,,
102,0:08:25,"Mor-morphine, 1 mg",,,,
108,0:08:41,"You're gonna, --, what is that, mor-, mg of morphine?",,,,
109,0:08:44,Morphine,,,,
110,0:08:46,"It's morphine and saline dep-, gets",,,,
,,,,,,
118,0:09:17,Drop 1 mg of morphine,,,,
,,,,,,
,,,,,,
161217,,,,,,
4,0:45:15,Um and he has had uh morphine and allotted,,,,
5,0:45:19,"Uh no history, no meds, no allergies, no loss of consciousness",,,,
,,,,,,
39,0:47:08,You wanna get him some morphine his blood pressure's shook,,,,
40,0:47:12,Can we do uh non preheated morphine,,,,
41,0:47:15,Yup,,,,
,,,,,,
71,0:49:44,I have 6 mg of morphine,,,,
72,0:49:46,Thank you,,,,
,,,,,,
83,0:50:31,Did you wanna do epi?,,,,
84,0:50:31,Epi yeah,,,,
85,0:50:32,Can we see the sign,,,,
86,0:50:33,Yeah go ahead,,,,
87,0:50:38,Did we already give meds,,,,
88,0:50:39,No we gotta,,,,
89,0:50:40,No he has no bolus,,,,
90,0:50:40,We would live to give them morphine,,,,
,,,,,,
105,0:51:15,Checking your IV okay I'm gonna give you some more meds,,,,
,,,,,,
116,0:52:08,Alright should we go ahead and give him the morphine and then roll him,,,,
117,0:52:10,"Yeah, morphine is is now",,,,
129,0:52:37,Alright you feel the medicine,,,,
130,0:52:38,Did he give,,,,
131,0:52:39,"Okay I'm gonna, I'm gonna check you so there's one of these is gonna give you the medicine so I can check this side of you",,,,
,,,,,,
145,0:53:09,I didn't get any of the med,,,,
146,0:53:11,"He just got morphine, 2 mg at 13.8, allotted 1 mg",,,,
148,0:53:16,"Hang on a second, 2 mg, IV 13.08",,,,
151,0:53:22,"And 1, 1 mg at 14.06",,,,
,,,,,,
,,,,,,
161202,,,,,,
35,0:05:52,I have epi 0.02 milligrams that we can grind up,,,,
36,0:05:54,Okay can we go ahead and give the first dose of epi immediately please,,,,
37,0:05:58,Yeah I have epi grinding it up,,,,
38,0:05:59,Thank you,,,,
44,0:06:08,Can I get a syringe for the proper 5 CC's syringe please,,,,
45,0:06:11,Yes,,,,
,,,,,,
50,0:06:23,"Giving the epi now, right IV",,,,
51,0:06:25,Epi now,,,,
52,0:06:26,Excuse me,,,,
53,0:06:28,"I--epi in, first dose",,,,
54,0:06:30,0.08 or do you wanna stay-,,,,
55,0:06:32,Thank you --,,,,
56,0:06:33,Can I have my trauma kit please,,,,
57,0:06:34,Where's the IO,,,,
58,0:06:34,Gentle please,,,,
59,0:06:37,"Okay -- is proceeding with the intubation, first dose of epi is in",,,,
