172,(0:25:03),"We can do maintenance fluids, is there anything else?",Q,,,
216,(0:29:09),Maintenance fluids …,RP,,,
,,,,,,
161130,,,,,,
110,(0:13:07),"He didn't have any fluid when they brought him, right?",Q,,,
111,(0:13:10),Uh we or during the transfer he had [10 milliter?] that hours,RS,,,
130,(0:15:34),"And he said we can do maintenance, normal saline",RP,,,
135,(0:16:31),We have thirty-three for maintenance,RP,,,
168,(0:20:03),So we'll give him an hour worth of maintenance right now and then,DIR?,,,
,,,,,,
Time,Speech,,,,,
160737,,,,,,
0:12:29,How much was the normal saline bolus?,,,,,
0:12:31,"Uh one ten, based on the five point five weight. No allergies, immunization is up to date",,,,,
,,,,,,
,,,,,,
,,,,,,
Key Words,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Transcript/Line,Time,Speech,,,,
,,,,,,
170336,,,,,,
7,0:21:24,Had a bolos to 270,,,,
12,0:21:42,Did you guys give him fluids I'm sorry,,,,
13,0:21:44,"Yes he got a bolos to 270 right as we got there which is finishing up, we didn't give anything for out here",,,,
14,0:21:48,Okay,,,,
15,0:21:50,"And he got 2 g, 2 mg right?",,,,
16,0:21:52,2 mg of PO at 7:30 this morning,,,,
17,0:21:58,Okay I'm gonna get out of here,,,,
,,,,,,
81,0:24:54,There's a fluid bolos in his right AC that's patent,,,,
82,0:24:56,Okay,,,,
,,,,,,
,,,,,,
170335,,,,,,
28,0:11:58,Does he have an IV bag with him,,,,
29,0:11:59,Fluids?,,,,
30,0:12:00,"Uh no, no bolos",,,,
31,0:12:01,Okay,,,,
,,,,,,
,,,,,,
170229,,,,,,
91,0:07:50,"And also coag, did she get fluids",,,,
92,0:07:52,She had fluids that are normal,,,,
,,,,,,
,,,,,,
170211,,,,,,
81,0:08:39,"Guys we wanna uh give her maintenance fluids, too, just D5 and a half at uh 16 an hour.",,,,
,,,,,,
,,,,,,
170209,,,,,,
0:10:34,"He's comfortable, has denied any requests for pain management, got a 500 mL saline bolos",,,,,
,,,,,,
,,,,,,
170120,,,,,,
93,0:21:11,Can we run maintenance normal saline for him,,,,
94,0:21:15,So we um,,,,
95,0:21:16,Maybe that's why I'm asking,,,,
,,,,,,
,,,,,,
161227,,,,,,
16,0:02:33,"Large bol, large bol",,,,
,,,,,,
,,,,,,
160129,,,,,,
131,0:20:33,"We're gonna get some basic labs, start him on IV fluids, get X-rays of the left, uh leg, entire leg, um, and wait for the results of the labs",,,,
132,0:20:36,Saline's connected,,,,
,,,,,,
,,,,,,
160126,,,,,,
7,0:08:20,"Didn't do anything but a little fluid, maintenance fluid over there on the way to the hospital",,,,
,,,,,,
107,0:16:32,700 bolos started,,,,
108,0:16:40,Can I use that LR,,,,
109,0:16:43,Normal saline,,,,
,,,,,,
,,,,,,
170438,,,,,,
114,(00:40:13),Uh 20 per kilo bolus,,,,
,,,,,,
127,(00:41:08),"20 per kilo bolus, started",,,,
128,(00:41:10),Of?,,,,
129,(00:41:12),Normal saline. Sorry,,,,
130,(00:41:12),Thank you,,,,
,,,,,,
149,(00:42:49),Yes please. And then a 20 per kilo bolus afterwards.,,,,
150,(00:42:52),20 per kilo bolus,,,,
152,(00:42:57),Why are you giving a bolus?,,,,
153,(00:42:59),"We were, but uh it's stopped right now, to get more labs",,,,
154,(00:43:05),Pressure is fine and,,,,
156,(00:43:08),Okay so hold on the bolus,,,,
157,(00:43:10),Oh okay,,,,
,,,,,,
174,(00:44:20),"Bolus, you wanna widen the bolus?",,,,
175,(00:44:23),Well the bolus they don't want us to run,,,,
176,(00:44:25),"Oh yeah okay, so let's do that",,,,
,,,,,,
,,,,,,
170431,,,,,,
34,(00:14:02),Fluids?,,,,
35,(00:14:03),"Uh, just KVO, I don't think it was even 100 ccs at most",,,,
,,,,,,
,,,,,,
170421,,,,,,
79,(00:13:36),Do we need to give a bolus?,,,,
81,(00:13:39),Can we push the fluids?,,,,
,,,,,,
,,,,,,
170304,,,,,,
69,(00:39:27),"Alright guys, and after we're done with this, I'd like to give a 20 per kilo NS bolus O2 through the, through the IO.",,,,
