,Time,Speech,Communication Code,Common words,General Observation,
73,0:13:58,"Sure, so we have her covered with a warm blanket, did we get a temperature on her?",,,,
74,0:14:01,Getting it right now,,,,
,,,,,,
,,,,,,
161128,,,,,,
27,0:07:38,"Alright now we are exposing, anyone see any injuries?",,,,
29,0:07:55,What's this for? Just to get her warm?,,,,
,,,,,,
,,,,,,
160129,,,,,,
30,0:12:24,Trauma shears please,,,,
31,0:12:27,Where is the shears,,,,
32,0:12:28,"It's in one of the, um",,,,
33,0:12:30,"Where do the shears go, guys, shears?",,,,
,,,,,,
51,0:13:36,Can I have the-I need the trauma shears,,,,
53,0:13:50,Where are the shears,,,,
54,0:13:53,I'm gonna take this off,,,,
,,,,,,
,,,,,,
160128,,,,,,
23,0:13:08,"Moving along, I don't see any gross uh deformity here, we're completely exposed, no obvious bleeding.",,,,
,,,,,,
,,,,,,
160127,,,,,,
26,0:06:42,Can we get some more blankets on his feet,,,,
,,,,,,
121,0:11:28,We're gonna get you on this warm blanket on,,,,
,,,,,,
,,,,,,
160126,,,,,,
50,0:11:14,I'm just gonna have to expose you is that okay?,,,,
,,,,,,
73,0:13:16,I'm just gonna expose you a bit here okay?,,,,
76,0:13:29,I'm gonna take off your socks okay?,,,,
,,,,,,
,,,,,,
160124,,,,,,
51,0:02:48,Yup let's get him undressed,,,,
,,,,,,
74,0:04:23,"Okay great, so his clothing is coming off, we're getting IV access, right?",,,,
75,0:04:28,Yes,,,,
,,,,,,
,,,,,,
170521,,,,,,
30,(00:05:30),"Do you want to help her take her pants, all of her stuff off?",,,,
,,,,,,
54,(00:07:45),"And we can just lifting off her shirt in just a second, because otherwise moving her is going to be interesting.",,,,
,,,,,,
68,(00:09:14),"---, can you take this off? We'll get her stripped down.",,,,
,,,,,,
,,,,,,
170518,,,,,,
63,(00:07:51),"Alright, so let's take his clothes off, fully evaluate him.",,,,
,,,,,,
71,(00:08:48),Yeah. Let's cover him up.,,,,
,,,,,,
,,,,,,
170515,,,,,,
53,(00:08:16),Did you completely expose him?,,,,
54,(00:08:18),Not yet. Do you have extra shears?,,,,
55,(00:08:40),"Alright bud, we gotta take off your...",,,,
56,(00:08:42),You gotta take those off.,,,,
57,(00:08:43),These gotta come off too.,,,,
58,(00:08:44),We'll cover you up.,,,,
59,(00:08:51),"We're gonna cover you up. She's going to take a look at you, alright?.",,,,
60,(00:08:58),"Yeah, slide them off.",,,,
,,,,,,
,,,,,,
170514,,,,,,
36,(00:04:23),"Sorry, but I'm going to take your socks off, okay?",,,,
,,,,,,
50,(00:05:19),"Alright, do you want to finish cutting?",,,,
56,(00:05:35),"Alright, while we're doing that I'm just going to take a peek, okay?",,,,
,,,,,,
,,,,,,
170509,,,,,,
37,(00:23:02),"Okay, let's focus, let's work on getting her fully exposed please.",,,,
38,(00:23:04),"Yup, we're working on it.",,,,
39,(00:23:17),And can we get a warm blanket for her? Thank you.,,,,
44,(00:23:34),Let's get her fully exposed before we move on.,,,,
45,(00:23:38),"She's all the way wrapped in, like a…",,,,
46,(00:23:41),"Drop it down, take the rest of her shirt off.",,,,
50,(00:24:05),Can you cover her chest up here please?,,,,
,,,,,,
,,,,,,
170508,,,,,,
52,(00:15:35),"We've got to take off your shirt, we don't want you to be covered, okay?",,,,
53,(00:15:38),"We've got to check everything, we've got to make sure there's no injuries, alright?",,,,
54,(00:15:40),So let's just get her completely undressed and we'll get started with that.,,,,
55,(00:15:43),Are you… are you going to hurt me?,,,,
56,(00:15:45),"No, no. We're gonna tell you everything first. We're gonna take these off, and leave on your blanket.",,,,
59,(00:15:56),"Don't worry, we're not gonna hurt you.",,,,
60,(00:15:58),"Alright, sweetheart. Thanks for helping, we'll keep you covered.",,,,
61,(00:16:02),"I like your shoes, these are very fancy.",,,,
62,(00:16:06),"We'll put a gown on you, okay?",,,,
63,(00:16:21),"Alright, let's get the shirt off and move on.",,,,
64,(00:16:27),"Alright, we got to cut the shirt off, okay?",,,,
65,(00:16:29),What?,,,,
66,(00:16:30),We got to cut the shirt off.,,,,
67,(00:16:31),Cut?,,,,
68,(00:16:32),"The shirt, the shirt.",,,,
69,(00:16:36),"Well it's okay, cause we can't pull it over your head, it's because we don't wanna hurt your head. It's fine, don't worry.",,,,
70,(00:16:41),"Alright, good. Can you squeeze your arm out here? Wiggle your little arm out.",,,,
71,(00:16:46),"Okay good, now the other arm.",,,,
,,,,,,
,,,,,,
170448,,,,,,
60,(00:02:53),"--, can we expose here and use scissors to get his clothes off?",,,,
,,,,,,
81,(00:04:13),Can we get the rest of his shirt off?,,,,
,,,,,,
,,,,,,
170446,,,,,,
59,(00:25:25),"And then, is he fully exposed?",,,,
60,(00:25:27),"Yes, he is fully exposed.",,,,
,,,,,,
,,,,,,
170438,,,,,,
95,(00:38:47),Go grab a warm blanket while we're waiting,,,,
96,(00:38:50),Blankets are right here at the end of the bed,,,,
97,(00:38:50),"Oh we got it, we're good",,,,
,,,,,,
,,,,,,
170432,,,,,,
93,(00:05:33),"And he's been exposed, can we move onto the secondary survey?",,,,
,,,,,,
,,,,,,
170431,,,,,,
26,(00:13:41),Do you have the,,,,
27,(00:13:44),"We're just gonna have to cut a couple things just to get everything open so we can take a real good look, okay?",,,,
,,,,,,
47,(00:14:41),"Alright and then we're gonna get you covered up, we'll get some warm blankets on, alright?",,,,
49,(00:14:55),"We're gonna get you all covered up, okay?",,,,
,,,,,,
,,,,,,
170410,,,,,,
22,(00:12:08),"Remove his clothes, get some blankets on him.",,,,
33,(00:13:28),Can we get some blankets?,,,,
,,,,,,
,,,,,,
170426,,,,,,
18,(00:02:57),"Hey --. I'm --, one of the nurses. You got some grass in your eye. Can I see that? A lot of people are gonna be here for a minute and then they're gonna go away, okay? Are you cold? Would you like a blanket? We're getting all of your seatbelts up right now and we'll put a blanket over you to keep you covered up, okay?",,,,
,,,,,,
36,(00:04:37),"Um, can we get some more blankets",,,,
,,,,,,
,,,,,,
170221,,,,,,
22,(00:32:51),We're gonna take a blanket and the baby.,,,,
,,,,,,
,,,,,,
170305,,,,,,
68,(00:04:10),"We're gonna take off some of your clothes, okay? We'll get you covered up, okay?",,,,
69,(00:04:19),"Hey buddy, we're gonna cut your shirt, okay? We're gonna give you another one. ",,,,
,,,,,,
89,(00:05:37),"Alright, I'm gonna get the rest of your clothes off, okay?",,,,
,,,,,,
,,,,,,
170118,,,,,,
61,(00:11:54),"Gotta keep your feet warm, gotta keep your feet warm. ",,,,
,,,,,,
,,,,,,
170116,,,,,,
23,(00:01:14),Can we turn the bear-hugger on?,,,,
24,(00:01:15),Of course.,,,,
32,(00:01:40),Is the bearhugger on?,,,,
33,(00:01:41),Bearhugger's on.,,,,
35,(00:01:44),"I'm taking your socks off, okay?",,,,
,,,,,,
80,(00:04:32),Are all his clothes off?,,,,
81,(00:04:34),Yes they're off on my side. ,,,,
82,(00:04:36),"Okay, let's do the other side too please.",,,,
83,(00:04:37),"--, is it off on your side?",,,,
84,(00:04:38),Is what?,,,,
85,(00:04:39),"His clothing, Are they off from your side?",,,,
86,(00:04:40),"Not entirely yet, I'll get there. ",,,,
87,(00:04:41),Okay. --'s working on it. ,,,,
88,(00:04:44),Alright. ,,,,
,,,,,,
107,(00:06:11),We're all cut on this side --?,,,,
108,(00:06:12),What's that?,,,,
109,(00:06:13),Clothes are all cut on this side?,,,,
110,(00:06:14),We haven't gotten pants off yet. ,,,,
111,(00:06:15),Alright. ,,,,
112,(00:06:16),There's a cut on my side. ,,,,
113,(00:06:17),Cut on your side?,,,,
114,(00:06:17),Yeah.,,,,
115,(00:06:33),Everything is accessible now. ,,,,
116,(00:06:35),Thank you.,,,,
,,,,,,
,,,,,,
170419,,,,,,
14,(00:04:08),Take off his shirt. Please.,,,,
15,(00:04:12),We just gotta get him on the monitor and we can do that for you.,,,,
16,(00:04:14),I'm talking about --. Sorry haha,,,,
17,(00:04:19),"Before you check his eyes, take off his shirt.",,,,
,,,,,,
,,,,,,
170418,,,,,,
52,(00:34:57),"So --, we're gonna take your pants off, okay --?",,,,
53,(00:35:10),".--, we're gonna take your pants off, okay?",,,,
60,(00:35:27),Let's just get him exposed and then we'll keep going,,,,
61,(00:35:31),".--, stop moving your legs. Keep your legs down. It's a small bed dude, we don't want you falling off.",,,,
,,,,,,
,,,,,,
170412,,,,,,
11,(00:10:19),"Alright he's got bilateral equal breath sounds, […] pedal pulses, […] exposed, GCS of 14, cause he's just crying, and we got him exposed, […] to take a look at his back.",,,,
12,(00:10:46),Do we have a blanket for him?,,,,
,,,,,,
,,,,,,
170406,,,,,,
15,(00:11:44),Exposure,,,,
16,(00:11:56),And then restrap them when you're putting it back together.,,,,
17,(00:11:59),What's that?,,,,
18,(00:12:00),"So when you do it, just put them back together. Otherwise it's gonna get tangled. Yeah.",,,,
,,,,,,
,,,,,,
170308,,,,,,
18,9:15,Help with exposure,,,,
